							
Bisharp	65	125	100	60	70	70	
Blissey	255	10	10	75	135	55	
Clefable	95	70	73	95	90	60	
Corviknight	98	87	105	53	85	67	
Dragapult	88	120	75	100	75	142	
Dragonite	91	134	95	100	100	80	
Excadrill	110	135	60	50	65	88	
Ferrothorn	74	94	131	54	116	20	
Garchomp	108	130	95	80	85	102	
Hawlucha	78	92	75	74	63	118	
Heatran	91	90	106	130	106	77	
Hippowdown	108	112	118	68	72	47	
Hydreigon	92	105	90	125	90	98	
Kartana	59	181	131	59	31	109	
Kyurem	125	130	90	130	90	95	
Landorus-Therian	89	145	90	105	80	91	
Magnezone	70	70	115	130	90	60	
Mandibuzz	110	65	105	55	95	80	
Melmetal	135	143	143	80	65	34	
Nidoking	8	102	77	85	75	85	
Pilipper	60	50	100	95	70	65	
Regieleki	80	100	50	100	50	200	
Rillaboom	100	125	90	60	70	85	
Skarmory	65	80	140	40	70	70	
Slowbro	95	75	110	100	80	30	
Slowking	75	80	100	100	110	30	
Slowking-Galar	95	65	80	110	110	30	
Swampert	100	110	90	85	90	60	
Tapu Fini	70	75	115	95	130	85	
Tapu Koko	70	115	85	97	75	130	
Tapu Lele	70	85	75	130	115	95	
Tornadus-Therian	79	100	80	110	90	121	
Toxapex	50	63	152	53	142	35	
Tyranitar	100	134	110	95	100	61	
Urshifu-Rapid-Strike	100	130	100	63	60	97	
Volcarona	85	60	65	135	105	100	
Zapdos	90	90	85	125	90	100	
Zeraora	88	112	75	102	80	143	
							
Aegislash	60	50	140	50	140	60	
Amoonguss	114	85	70	85	80	30	
Azelf	75	125	70	125	70	115	
Azumarill	100	50	80	60	80	50	
Buzzwole	107	139	139	53	53	79	
Celesteela	97	101	103	107	101	61	
Chansey	250	5	5	35	105	50	
Conkeldurr	105	140	95	55	65	45	
Crawdauct	63	120	85	90	55	55	
Grimmsnarl	95	120	65	95	75	60	
Gyrados	95	125	79	60	100	81	
Hatterne	57	90	95	136	103	29	
Jirachi	100	100	100	100	100	100	
Keldeo	91	72	90	129	90	108	
Kommo-o	75	110	125	100	105	85	
Krookodile	95	117	80	65	70	92	
Lycanroc-Dusk	75	117	65	55	65	110	
Mamoswine	110	130	80	70	60	80	
New	100	100	100	100	100	100	
Moltres	90	100	90	125	85	90	
Moltres-Galar	90	92	87	75	85	76	
Nidoqueen	90	92	97	75	85	76	
Nihilego	109	53	47	127	131	103	
Ninetales-Alola	73	67	75	81	100	109	
Primarina	80	74	74	126	116	60	
Quagsire	95	85	85	65	65	35	
Rotom	50	65	107	105	107	86	
Salamence	95	135	80	110	80	100	
Scizor	70	130	100	55	80	65	
Tangrowth	100	100	125	110	50	50	
Tapu Bulu	70	130	115	85	95	75	
Tentacruel	80	70	65	80	120	100	
Thunderus-Therian	79	105	70	145	80	101	
							
Calyrex-Ice	100	165	150	85	130	50	
Calyrex-Shadow	100	85	80	165	100	150	
Cinderace	80	116	75	65	75	119	
Darmanitax-Galar	105	140	55	30	55	95	
Dialga	100	120	120	150	100	90	
Dracovish	90	90	100	70	80	75	
Eternatus	140	85	95	145	95	130	
Genesect	71	120	95	120	95	99	
Giratina	150	100	120	100	120	90	
Giratina-Origin	150	120	100	120	100	90	
Groudon	100	150	140	100	90	90	
Ho-Oh	106	130	90	110	154	90	
Kyogro	100	100	90	150	140	90	
Kyurem-Black	125	170	100	120	90	95	
Kyurem-White	125	120	90	170	100	95	
Landorus-Therian	89	125	90	115	80	101	
Lugia	106	90	130	90	154	110	
Lunala	137	113	89	137	107	97	
Magearna	80	95	115	130	115	65	
Marshadow	90	125	80	90	90	125	
Mewtwo	106	110	90	154	90	130	
Naganadel	73	73	73	127	73	121	
Necrozma-Dawn Wing	97	113	109	157	127	77	
Necrozma-Dusk Wing	97	157	127	113	109	77	
Palkia	90	120	100	150	120	100	
Rayquaza	105	150	90	150	90	95	
Pheromosa	71	137	37	137	37	151	
Reshiram	100	120	100	150	120	100	
Solgaleo	137	137	107	113	89	97	
Spectrier	100	65	60	145	80	130	
Urshifu	100	130	100	63	60	97	
Xerneas	126	131	95	131	98	99	
Yveltal	126	131	95	131	98	99	
Zacian	92	130	115	80	115	138	
Zamazenta	92	130	115	80	115	138	
Zamazenta-Crowned	92	130	145	80	145	128	
Zekrom	100	150	120	120	100	90	
Zygarde	108	100	121	81	95	95	
Zygarde-Complete	216	100	121	91	95	85	
